GLOVE 200, POS 50, HIDDEN 128, LAYERS 2, LR 0.0005, DECAY 1e-05: BEST VALID F1: 65.831% AT EPOCH 42, TRAINED FOR 43 EPOCHS
GLOVE 200, POS 50, HIDDEN 128, LAYERS 2, LR 0.001, DECAY 0: BEST VALID F1: 66.631% AT EPOCH 41, TRAINED FOR 42 EPOCHS
GLOVE 200, POS 50, HIDDEN 128, LAYERS 2, LR 0.001, DECAY 1e-06: BEST VALID F1: 66.800% AT EPOCH 38, TRAINED FOR 39 EPOCHS
GLOVE 200, POS 50, HIDDEN 128, LAYERS 2, LR 0.001, DECAY 1e-05: BEST VALID F1: 65.897% AT EPOCH 31, TRAINED FOR 42 EPOCHS
GLOVE 200, POS 50, HIDDEN 128, LAYERS 2, LR 0.005, DECAY 0: BEST VALID F1: 63.631% AT EPOCH 33, TRAINED FOR 34 EPOCHS
GLOVE 200, POS 50, HIDDEN 128, LAYERS 2, LR 0.005, DECAY 1e-06: BEST VALID F1: 64.549% AT EPOCH 21, TRAINED FOR 33 EPOCHS
GLOVE 200, POS 50, HIDDEN 128, LAYERS 2, LR 0.005, DECAY 1e-05: BEST VALID F1: 64.020% AT EPOCH 36, TRAINED FOR 38 EPOCHS
GLOVE 200, POS 50, HIDDEN 128, LAYERS 3, LR 0.0001, DECAY 0: BEST VALID F1: 62.728% AT EPOCH 43, TRAINED FOR 45 EPOCHS
GLOVE 200, POS 50, HIDDEN 128, LAYERS 3, LR 0.0001, DECAY 1e-06: BEST VALID F1: 61.239% AT EPOCH 37, TRAINED FOR 45 EPOCHS
GLOVE 200, POS 50, HIDDEN 128, LAYERS 3, LR 0.0001, DECAY 1e-05: BEST VALID F1: 62.768% AT EPOCH 53, TRAINED FOR 57 EPOCHS
GLOVE 200, POS 50, HIDDEN 128, LAYERS 3, LR 0.0005, DECAY 0: BEST VALID F1: 67.668% AT EPOCH 35, TRAINED FOR 40 EPOCHS
GLOVE 200, POS 50, HIDDEN 128, LAYERS 3, LR 0.0005, DECAY 1e-06: BEST VALID F1: 66.524% AT EPOCH 28, TRAINED FOR 33 EPOCHS
GLOVE 200, POS 50, HIDDEN 128, LAYERS 3, LR 0.0005, DECAY 1e-05: BEST VALID F1: 66.272% AT EPOCH 37, TRAINED FOR 41 EPOCHS
GLOVE 200, POS 50, HIDDEN 128, LAYERS 3, LR 0.001, DECAY 0: BEST VALID F1: 67.311% AT EPOCH 40, TRAINED FOR 44 EPOCHS
GLOVE 200, POS 50, HIDDEN 128, LAYERS 3, LR 0.001, DECAY 1e-06: BEST VALID F1: 68.322% AT EPOCH 34, TRAINED FOR 38 EPOCHS
GLOVE 200, POS 50, HIDDEN 128, LAYERS 3, LR 0.001, DECAY 1e-05: BEST VALID F1: 66.959% AT EPOCH 42, TRAINED FOR 43 EPOCHS
GLOVE 200, POS 50, HIDDEN 128, LAYERS 3, LR 0.005, DECAY 0: BEST VALID F1: 64.795% AT EPOCH 23, TRAINED FOR 35 EPOCHS
GLOVE 200, POS 50, HIDDEN 128, LAYERS 3, LR 0.005, DECAY 1e-06: BEST VALID F1: 64.908% AT EPOCH 33, TRAINED FOR 37 EPOCHS
GLOVE 200, POS 50, HIDDEN 128, LAYERS 3, LR 0.005, DECAY 1e-05: BEST VALID F1: 66.017% AT EPOCH 34, TRAINED FOR 39 EPOCHS
GLOVE 200, POS 50, HIDDEN 256, LAYERS 2, LR 0.0001, DECAY 0: BEST VALID F1: 62.298% AT EPOCH 40, TRAINED FOR 45 EPOCHS
GLOVE 200, POS 50, HIDDEN 256, LAYERS 2, LR 0.0001, DECAY 1e-06: BEST VALID F1: 63.221% AT EPOCH 38, TRAINED FOR 44 EPOCHS
GLOVE 200, POS 50, HIDDEN 256, LAYERS 2, LR 0.0001, DECAY 1e-05: BEST VALID F1: 64.045% AT EPOCH 44, TRAINED FOR 45 EPOCHS
GLOVE 200, POS 50, HIDDEN 256, LAYERS 2, LR 0.0005, DECAY 0: BEST VALID F1: 67.005% AT EPOCH 35, TRAINED FOR 42 EPOCHS
GLOVE 200, POS 50, HIDDEN 256, LAYERS 2, LR 0.0005, DECAY 1e-06: BEST VALID F1: 66.076% AT EPOCH 37, TRAINED FOR 40 EPOCHS
GLOVE 200, POS 50, HIDDEN 256, LAYERS 2, LR 0.0005, DECAY 1e-05: BEST VALID F1: 65.324% AT EPOCH 26, TRAINED FOR 40 EPOCHS
GLOVE 200, POS 50, HIDDEN 256, LAYERS 2, LR 0.001, DECAY 0: BEST VALID F1: 66.178% AT EPOCH 28, TRAINED FOR 38 EPOCHS
GLOVE 200, POS 50, HIDDEN 256, LAYERS 2, LR 0.001, DECAY 1e-06: BEST VALID F1: 66.519% AT EPOCH 32, TRAINED FOR 37 EPOCHS
GLOVE 200, POS 50, HIDDEN 256, LAYERS 2, LR 0.001, DECAY 1e-05: BEST VALID F1: 66.805% AT EPOCH 31, TRAINED FOR 38 EPOCHS
GLOVE 200, POS 50, HIDDEN 256, LAYERS 2, LR 0.005, DECAY 0: BEST VALID F1: 63.622% AT EPOCH 34, TRAINED FOR 35 EPOCHS
GLOVE 200, POS 50, HIDDEN 256, LAYERS 2, LR 0.005, DECAY 1e-06: BEST VALID F1: 64.438% AT EPOCH 32, TRAINED FOR 35 EPOCHS
GLOVE 200, POS 50, HIDDEN 256, LAYERS 2, LR 0.005, DECAY 1e-05: BEST VALID F1: 64.698% AT EPOCH 39, TRAINED FOR 40 EPOCHS
GLOVE 200, POS 50, HIDDEN 256, LAYERS 3, LR 0.0001, DECAY 0: BEST VALID F1: 63.405% AT EPOCH 40, TRAINED FOR 41 EPOCHS
GLOVE 200, POS 50, HIDDEN 256, LAYERS 3, LR 0.0001, DECAY 1e-06: BEST VALID F1: 65.126% AT EPOCH 34, TRAINED FOR 47 EPOCHS
GLOVE 200, POS 50, HIDDEN 256, LAYERS 3, LR 0.0001, DECAY 1e-05: BEST VALID F1: 64.123% AT EPOCH 45, TRAINED FOR 46 EPOCHS
GLOVE 200, POS 50, HIDDEN 256, LAYERS 3, LR 0.0005, DECAY 0: BEST VALID F1: 66.104% AT EPOCH 38, TRAINED FOR 41 EPOCHS
GLOVE 200, POS 50, HIDDEN 256, LAYERS 3, LR 0.0005, DECAY 1e-06: BEST VALID F1: 67.293% AT EPOCH 22, TRAINED FOR 47 EPOCHS
GLOVE 200, POS 50, HIDDEN 256, LAYERS 3, LR 0.0005, DECAY 1e-05: BEST VALID F1: 67.535% AT EPOCH 38, TRAINED FOR 43 EPOCHS
GLOVE 200, POS 50, HIDDEN 256, LAYERS 3, LR 0.001, DECAY 0: BEST VALID F1: 67.315% AT EPOCH 24, TRAINED FOR 33 EPOCHS
GLOVE 200, POS 50, HIDDEN 256, LAYERS 3, LR 0.001, DECAY 1e-06: BEST VALID F1: 67.529% AT EPOCH 26, TRAINED FOR 39 EPOCHS
GLOVE 200, POS 50, HIDDEN 256, LAYERS 3, LR 0.001, DECAY 1e-05: BEST VALID F1: 67.301% AT EPOCH 21, TRAINED FOR 38 EPOCHS
GLOVE 200, POS 50, HIDDEN 256, LAYERS 3, LR 0.005, DECAY 0: BEST VALID F1: 66.399% AT EPOCH 29, TRAINED FOR 41 EPOCHS
GLOVE 200, POS 50, HIDDEN 256, LAYERS 3, LR 0.005, DECAY 1e-06: BEST VALID F1: 66.423% AT EPOCH 27, TRAINED FOR 33 EPOCHS
GLOVE 200, POS 50, HIDDEN 256, LAYERS 3, LR 0.005, DECAY 1e-05: BEST VALID F1: 65.034% AT EPOCH 36, TRAINED FOR 41 EPOCHS
GLOVE 300, POS 10, HIDDEN 128, LAYERS 2, LR 0.0001, DECAY 0: BEST VALID F1: 61.252% AT EPOCH 46, TRAINED FOR 47 EPOCHS
GLOVE 300, POS 10, HIDDEN 128, LAYERS 2, LR 0.0001, DECAY 1e-06: BEST VALID F1: 63.128% AT EPOCH 44, TRAINED FOR 50 EPOCHS
GLOVE 300, POS 10, HIDDEN 128, LAYERS 2, LR 0.0001, DECAY 1e-05: BEST VALID F1: 61.303% AT EPOCH 47, TRAINED FOR 48 EPOCHS
GLOVE 300, POS 10, HIDDEN 128, LAYERS 2, LR 0.0005, DECAY 0: BEST VALID F1: 67.238% AT EPOCH 38, TRAINED FOR 43 EPOCHS
GLOVE 300, POS 10, HIDDEN 128, LAYERS 2, LR 0.0005, DECAY 1e-06: BEST VALID F1: 66.916% AT EPOCH 41, TRAINED FOR 46 EPOCHS
GLOVE 300, POS 10, HIDDEN 128, LAYERS 2, LR 0.0005, DECAY 1e-05: BEST VALID F1: 67.304% AT EPOCH 27, TRAINED FOR 45 EPOCHS
GLOVE 300, POS 10, HIDDEN 128, LAYERS 2, LR 0.001, DECAY 0: BEST VALID F1: 66.610% AT EPOCH 35, TRAINED FOR 36 EPOCHS
GLOVE 300, POS 10, HIDDEN 128, LAYERS 2, LR 0.001, DECAY 1e-06: BEST VALID F1: 67.224% AT EPOCH 38, TRAINED FOR 41 EPOCHS
GLOVE 300, POS 10, HIDDEN 128, LAYERS 2, LR 0.001, DECAY 1e-05: BEST VALID F1: 67.331% AT EPOCH 41, TRAINED FOR 43 EPOCHS
GLOVE 300, POS 10, HIDDEN 128, LAYERS 2, LR 0.005, DECAY 0: BEST VALID F1: 63.949% AT EPOCH 22, TRAINED FOR 32 EPOCHS
GLOVE 300, POS 10, HIDDEN 128, LAYERS 2, LR 0.005, DECAY 1e-06: BEST VALID F1: 64.456% AT EPOCH 19, TRAINED FOR 36 EPOCHS
GLOVE 300, POS 10, HIDDEN 128, LAYERS 2, LR 0.005, DECAY 1e-05: BEST VALID F1: 66.276% AT EPOCH 26, TRAINED FOR 40 EPOCHS
GLOVE 300, POS 10, HIDDEN 128, LAYERS 3, LR 0.0001, DECAY 0: BEST VALID F1: 62.783% AT EPOCH 43, TRAINED FOR 46 EPOCHS
GLOVE 300, POS 10, HIDDEN 128, LAYERS 3, LR 0.0001, DECAY 1e-06: BEST VALID F1: 63.053% AT EPOCH 44, TRAINED FOR 50 EPOCHS
